-5.24537e-008 , 4 , -0.6 | -6.11959e-008 , 3 , -0.7 | -0.41145 , 3 , -0.566312
-5.24537e-008 , 4 , -0.6 | -0.41145 , 3 , -0.566312 | -0.352671 , 4 , -0.48541
-0.352671 , 4 , -0.48541 | -0.41145 , 3 , -0.566312 | -0.66574 , 3 , -0.216312
-0.352671 , 4 , -0.48541 | -0.66574 , 3 , -0.216312 | -0.570634 , 4 , -0.18541
-0.570634 , 4 , -0.18541 | -0.66574 , 3 , -0.216312 | -0.66574 , 3 , 0.216312
-0.570634 , 4 , -0.18541 | -0.66574 , 3 , 0.216312 | -0.570634 , 4 , 0.18541
-0.570634 , 4 , 0.18541 | -0.66574 , 3 , 0.216312 | -0.411449 , 3 , 0.566312
-0.570634 , 4 , 0.18541 | -0.411449 , 3 , 0.566312 | -0.352671 , 4 , 0.48541
-0.352671 , 4 , 0.48541 | -0.411449 , 3 , 0.566312 | 1.22392e-007 , 3 , 0.7
-0.352671 , 4 , 0.48541 | 1.22392e-007 , 3 , 0.7 | 1.04907e-007 , 4 , 0.6
0 , 3 , 0.7 | 0 , 2 , 0.8 | 0.470228 , 2 , 0.647214
0 , 3 , 0.7 | 0.470228 , 2 , 0.647214 | 0.41145 , 3 , 0.566312
0.41145 , 3 , 0.566312 | 0.470228 , 2 , 0.647214 | 0.760845 , 2 , 0.247214
0.41145 , 3 , 0.566312 | 0.760845 , 2 , 0.247214 | 0.66574 , 3 , 0.216312
0.66574 , 3 , 0.216312 | 0.760845 , 2 , 0.247214 | 0.760845 , 2 , -0.247214
0.66574 , 3 , 0.216312 | 0.760845 , 2 , -0.247214 | 0.66574 , 3 , -0.216312
0.66574 , 3 , -0.216312 | 0.760845 , 2 , -0.247214 | 0.470228 , 2 , -0.647214
0.66574 , 3 , -0.216312 | 0.470228 , 2 , -0.647214 | 0.41145 , 3 , -0.566312
0.41145 , 3 , -0.566312 | 0.470228 , 2 , -0.647214 | -6.99382e-008 , 2 , -0.8
0.41145 , 3 , -0.566312 | -6.99382e-008 , 2 , -0.8 | -6.11959e-008 , 3 , -0.7
-6.11959e-008 , 3 , -0.7 | -6.99382e-008 , 2 , -0.8 | -0.470228 , 2 , -0.647214
-6.11959e-008 , 3 , -0.7 | -0.470228 , 2 , -0.647214 | -0.41145 , 3 , -0.566312
-0.41145 , 3 , -0.566312 | -0.470228 , 2 , -0.647214 | -0.760845 , 2 , -0.247214
-0.41145 , 3 , -0.566312 | -0.760845 , 2 , -0.247214 | -0.66574 , 3 , -0.216312
-0.66574 , 3 , -0.216312 | -0.760845 , 2 , -0.247214 | -0.760845 , 2 , 0.247214
-0.66574 , 3 , -0.216312 | -0.760845 , 2 , 0.247214 | -0.66574 , 3 , 0.216312
-0.66574 , 3 , 0.216312 | -0.760845 , 2 , 0.247214 | -0.470228 , 2 , 0.647214
-0.66574 , 3 , 0.216312 | -0.470228 , 2 , 0.647214 | -0.411449 , 3 , 0.566312
-0.411449 , 3 , 0.566312 | -0.470228 , 2 , 0.647214 | 1.39876e-007 , 2 , 0.8
-0.411449 , 3 , 0.566312 | 1.39876e-007 , 2 , 0.8 | 1.22392e-007 , 3 , 0.7
0 , 2 , 0.8 | 0 , 1 , 0.9 | 0.529007 , 1 , 0.728115
0 , 2 , 0.8 | 0.529007 , 1 , 0.728115 | 0.470228 , 2 , 0.647214
0.470228 , 2 , 0.647214 | 0.529007 , 1 , 0.728115 | 0.855951 , 1 , 0.278115
0.470228 , 2 , 0.647214 | 0.855951 , 1 , 0.278115 | 0.760845 , 2 , 0.247214
